Ж1900,V1
Ж1901,V2
Ж1902,V3
Ж1903,V4
Ж1904,V5
Ж1905,V6
Ж1906,V7
Ж1907,V8
Ж1908,V9
Ж1909,V10
Ж1910,V1
Ж1911,V2
Ж1912,V3
Ж1913,V4
Ж1914,V5
Ж1915,V6
Ж1916,V7
Ж1917,V8
Ж1918,V9
Ж1919,V10
Ж1920,V1
Ж1921,V2
Ж1922,V3
Ж1923,V4
Ж1924,V5
Ж1925,V6
Ж1926,V7
Ж1927,V8
Ж1928,V9
Ж1929,V10
Ж1930,V1
Ж1931,V2
Ж1932,V3
Ж1933,V4
Ж1934,V5
Ж1935,V6
Ж1936,V7
Ж1937,V8
Ж1938,V9
Ж1939,V10
Ж1940,V1
Ж1941,V2
Ж1942,V3
Ж1943,V4
Ж1944,V5
Ж1945,V6
Ж1946,V7
Ж1947,V8
Ж1948,V9
Ж1949,V10
Ж1950,V1
Ж1951,V2
Ж1952,V3
Ж1953,V4
Ж1954,V5
Ж1955,V6
Ж1956,V7
Ж1957,V8
Ж1958,V9
Ж1959,V10
Ж1960,V1
Ж1961,V2
Ж1962,V3
Ж1963,V4
Ж1964,V5
Ж1965,V6
Ж1966,V7
Ж1967,V8
Ж1968,V9
Ж1969,V10
Ж1970,V1
Ж1971,V2
Ж1972,V3
Ж1973,V4
Ж1974,V5
Ж1975,V6
Ж1976,V7
Ж1977,V8
Ж1978,V9
Ж1979,V10
Ж1980,V1
Ж1981,V2
Ж1982,V3
Ж1983,V4
Ж1984,V5
Ж1985,V6
Ж1986,V7
Ж1987,V8
Ж1988,V9
Ж1989,V10
Ж1990,V1
Ж1991,V2
Ж1992,V3
Ж1993,V4
Ж1994,V5
Ж1995,V6
Ж1996,V7
Ж1997,V8
Ж1998,V9
Ж1999,V10
Ж2000,V1
Ж2001,V2
Ж2002,V3
Ж2003,V4
Ж2004,V5
Ж2005,V6
Ж2006,V7
Ж2007,V8
Ж2008,V9
Ж2009,V10
Ж2010,V1
Ж2011,V2
Ж2012,V3
Ж2013,V4
Ж2014,V5
Ж2015,V6
М1900,V1
М1901,V2
М1902,V3
М1903,V4
М1904,V5
М1905,V6
М1906,V7
М1907,V8
М1908,V9
М1909,V10
М1910,V1
М1911,V2
М1912,V3
М1913,V4
М1914,V5
М1915,V6
М1916,V7
М1917,V8
М1918,V9
М1919,V10
М1920,V1
М1921,V2
М1922,V3
М1923,V4
М1924,V5
М1925,V6
М1926,V7
М1927,V8
М1928,V9
М1929,V10
М1930,V1
М1931,V2
М1932,V3
М1933,V4
М1934,V5
М1935,V6
М1936,V7
М1937,V8
М1938,V9
М1939,V10
М1940,V1
М1941,V2
М1942,V3
М1943,V4
М1944,V5
М1945,V6
М1946,V7
М1947,V8
М1948,V9
М1949,V10
М1950,V1
М1951,V2
М1952,V3
М1953,V4
М1954,V5
М1955,V6
М1956,V7
М1957,V8
М1958,V9
М1959,V10
М1960,V1
М1961,V2
М1962,V3
М1963,V4
М1964,V5
М1965,V6
М1966,V7
М1967,V8
М1968,V9
М1969,V10
М1970,V1
М1971,V2
М1972,V3
М1973,V4
М1974,V5
М1975,V6
М1976,V7
М1977,V8
М1978,V9
М1979,V10
М1980,V1
М1981,V2
М1982,V3
М1983,V4
М1984,V5
М1985,V6
М1986,V7
М1987,V8
М1988,V9
М1989,V10
М1990,V1
М1991,V2
М1992,V3
М1993,V4
М1994,V5
М1995,V6
М1996,V7
М1997,V8
М1998,V9
М1999,V10
М2000,V1
М2001,V2
М2002,V3
М2003,V4
М2004,V5
М2005,V6
М2006,V7
М2007,V8
М2008,V9
М2009,V10
М2010,V1
М2011,V2
М2012,V3
М2013,V4
М2014,V5
М2015,V6